Market A,Market B,Market C,P1,P2,P3,Profit(%)
BTC,ETH,HOT,0.020881999999999998,2.58e-06,6e-08,11.367751908286428
BTC,ETH,STORM,0.020881999999999998,5.75e-06,1.3e-07,8.268823159534099
BTC,ETH,QKC,0.020881999999999998,1.364e-05,2.9e-07,1.8149462094084745
BTC,ETH,DOCK,0.020878,2.544e-05,5.4e-07,1.6688145145110855
BTC,ETH,VIB,0.020881999999999998,6.037e-05,1.28e-06,1.5352172441955414
BTC,ETH,CMT,0.020881999999999998,4.399e-05,9.3e-07,1.2411093160348718
BTC,ETH,IOTX,0.020876,1.373e-05,2.9e-07,1.1766213065125486
BTC,ETH,STRAT,0.020881999999999998,0.001517,3.198e-05,0.9533621352412648
BTC,ETH,FUN,0.020881999999999998,1.378e-05,2.9e-07,0.7805418212141868
BTC,ETH,OMG,0.020881999999999998,0.0051270000000000005,0.0001077,0.5959032304398981
BTC,ETH,WTC,0.020881999999999998,0.001295,2.72e-05,0.5835695999473423
